OTU,RA,SampleID,Notes,ExperimentName,Day/TimePoint,ReplicateGroup,DonorName
0;2;32,0,S021,,RD1,D1/T0,RD628 - 6,AB
0;18;33,0,S021,,RD1,D1/T0,RD628 - 6,AB
0;19;21,0,S021,,RD1,D1/T0,RD628 - 6,AB
0;12;34,0,S021,,RD1,D1/T0,RD628 - 6,AB
0;6;12,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;6;13,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;4;14,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;7;15,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;8;16,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;9;17,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;2;18,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;10;19,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;11;20,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;12;21,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;2;22,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;13;23,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;14;24,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;1;21,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;15;25,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;3;26,0,S022,,RD1,D1/T0,RD628 - 6,AB
2;16;27,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;17;28,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;8;29,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;4;30,0,S022,,RD1,D1/T0,RD628 - 6,AB
2;16;31,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;2;32,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;18;33,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;19;21,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;12;34,0,S022,,RD1,D1/T0,RD628 - 6,AB
0;1;1,0.793587174,S005,,RD1,D1/T0,RD628 - 2,CD
0;1;1,0.760425413,S017,,RD1,D1/T0,RD628 - 5,CD
0;1;1,0.751823087,S018,,RD1,D1/T0,RD628 - 5,CD
0;2;2,0.110452363,S018,,RD1,D1/T0,RD628 - 5,CD
0;2;2,0.10434318,S017,,RD1,D1/T0,RD628 - 5,CD
0;2;2,0.071068967,S005,,RD1,D1/T0,RD628 - 2,CD
0;1;4,0.055232416,S005,,RD1,D1/T0,RD628 - 2,CD
0;1;4,0.051090248,S017,,RD1,D1/T0,RD628 - 5,CD
0;1;4,0.049238157,S018,,RD1,D1/T0,RD628 - 5,CD
0;3;5,0.042242248,S018,,RD1,D1/T0,RD628 - 5,CD
0;3;5,0.038002835,S005,,RD1,D1/T0,RD628 - 2,CD
0;3;5,0.037986922,S017,,RD1,D1/T0,RD628 - 5,CD
0;1;6,0.018013892,S017,,RD1,D1/T0,RD628 - 5,CD
0;1;6,0.01698583,S018,,RD1,D1/T0,RD628 - 5,CD
0;1;6,0.015689916,S005,,RD1,D1/T0,RD628 - 2,CD
